area,room_num,living_room_num,floor,distance_subway,price
89.2,2,1,15,0.8,185.5
65.4,1,1,8,1.2,120.3
120.7,3,2,22,0.5,298.8
95.3,2,1,11,1.5,205.2
58.9,1,1,5,2.3,98.7
112.5,3,2,18,0.7,275.6
76.8,2,1,10,1.1,156.9
135.2,3,2,25,0.4,342.1
82.4,2,1,7,1.8,172.3
69.1,1,1,12,2.0,130.5
105.8,3,1,16,0.9,248.2
73.6,2,1,9,1.3,149.8
142.7,4,2,28,0.3,385.4
98.5,2,1,14,1.6,218.7
62.3,1,1,4,2.5,92.4
118.9,3,2,20,0.6,289.3
86.7,2,1,13,1.4,180.2
79.5,2,1,6,1.9,163.5
127.3,3,2,23,0.5,312.6
56.8,1,1,3,2.7,88.6
109.4,3,1,17,0.8,256.9
83.7,2,1,10,1.2,176.4
71.2,2,1,8,1.7,143.8
131.5,3,2,26,0.4,328.7
67.5,1,1,6,2.2,125.9
115.3,3,2,19,0.7,282.4
92.8,2,1,12,1.4,198.5
74.9,2,1,5,1.8,152.7
123.6,3,2,21,0.6,301.8
59.7,1,1,4,2.6,95.3
102.1,3,1,15,0.9,239.6
87.9,2,1,11,1.3,184.2
64.8,1,1,7,2.1,118.7
138.4,4,2,27,0.3,365.2
96.2,2,1,13,1.5,212.8
77.3,2,1,9,1.9,160.1
129.8,3,2,24,0.5,318.5
61.4,1,1,3,2.8,90.6
111.7,3,2,18,0.8,270.3
89.5,2,1,14,1.2,188.7
72.6,2,1,6,1.6,147.2
134.1,3,2,25,0.4,336.9
68.9,1,1,9,2.3,128.4
117.5,3,2,20,0.7,286.7
94.3,2,1,12,1.5,203.6
76.4,2,1,7,1.8,155.9
125.9,3,2,22,0.6,307.2
57.6,1,1,5,2.5,89.2
107.3,3,1,16,0.9,251.4
85.2,2,1,10,1.3,179.8
63.2,1,1,8,2.0,114.5
140.6,4,2,29,0.3,378.5
97.8,2,1,15,1.6,219.3
78.7,2,1,11,1.9,164.3
132.4,3,2,26,0.4,332.6
66.3,1,1,7,2.4,122.8
113.9,3,2,19,0.7,278.1
91.5,2,1,13,1.4,195.8
73.1,2,1,6,1.7,149.5
128.2,3,2,23,0.5,314.3
60.1,1,1,4,2.7,87.9
104.6,3,1,17,0.9,244.8
86.5,2,1,11,1.3,182.5
65.9,1,1,9,2.2,119.8
136.8,4,2,28,0.3,359.7
95.1,2,1,14,1.5,209.4
75.8,2,1,8,1.8,154.2
126.7,3,2,24,0.5,309.6
58.3,1,1,3,2.6,93.1
101.2,3,1,15,0.8,236.5
84.9,2,1,10,1.2,174.6
70.5,2,1,7,1.6,141.3
130.2,3,2,25,0.4,324.5
67.1,1,1,6,2.1,124.3
114.7,3,2,18,0.7,280.2
93.4,2,1,12,1.4,197.1
74.3,2,1,5,1.7,150.9
122.8,3,2,21,0.6,298.7
59.2,1,1,4,2.5,94.6
106.5,3,1,16,0.9,248.3
88.3,2,1,11,1.3,185.9
64.3,1,1,8,2.0,116.9
139.5,4,2,27,0.3,369.8
96.7,2,1,13,1.5,214.5
77.9,2,1,9,1.8,161.7
129.1,3,2,24,0.5,316.2
61.9,1,1,3,2.7,91.8
110.8,3,2,18,0.8,268.5
89.9,2,1,14,1.2,190.3
72.1,2,1,6,1.6,145.7
133.6,3,2,25,0.4,334.8
68.4,1,1,9,2.2,127.1
116.9,3,2,20,0.7,284.9
93.9,2,1,12,1.4,201.3
75.4,2,1,7,1.8,153.4
125.3,3,2,22,0.6,305.1
57.1,1,1,5,2.4,88.5
103.8,3,1,16,0.9,242.7
