date,price,promotion,ad_spend,user_rating,holiday,sales
2023-01-01,2999,1,3000,4.2,1,386
2023-01-02,2999,1,2800,4.2,0,320
2023-01-03,2999,0,1500,4.3,0,215
2023-01-04,3299,0,1200,4.3,0,189
2023-01-05,3299,0,1000,4.2,0,165
2023-01-06,3299,0,900,4.1,0,158
2023-01-07,2999,1,2500,4.1,0,298
2023-01-08,2999,1,2300,4.2,0,276
2023-01-09,3199,0,1800,4.3,0,203
2023-01-10,3199,0,1600,4.3,0,191
2023-01-11,3199,0,1400,4.2,0,178
2023-01-12,2899,1,3200,4.4,0,345
2023-01-13,2899,1,3000,4.4,1,392
2023-01-14,2899,0,1700,4.3,0,221
2023-01-15,3399,0,1100,4.2,0,152
2023-01-16,3399,0,1000,4.1,0,145
2023-01-17,3399,0,950,4.1,0,138
2023-01-18,2799,1,2600,4.5,0,368
2023-01-19,2799,1,2400,4.5,0,332
2023-01-20,3099,0,1900,4.4,0,217
2023-01-21,3099,0,1700,4.4,0,205
2023-01-22,3099,0,1500,4.3,0,192
2023-01-23,2999,1,2900,4.3,1,375
2023-01-24,2999,1,2700,4.3,1,388
2023-01-25,2999,0,1600,4.2,0,210
2023-01-26,3299,0,1300,4.2,0,175
2023-01-27,3299,0,1100,4.1,0,162
2023-01-28,3299,0,1000,4.1,0,155
2023-01-29,2899,1,2800,4.4,0,328
2023-01-30,2899,1,2600,4.4,0,305
2023-01-31,3199,0,1800,4.3,0,208
2023-02-01,3199,0,1600,4.3,0,196
2023-02-02,3199,0,1400,4.2,0,183
2023-02-03,2799,1,3100,4.5,1,395
2023-02-04,2799,1,2900,4.5,1,412
2023-02-05,2799,0,1800,4.4,1,256
2023-02-06,3399,0,1200,4.3,0,158
2023-02-07,3399,0,1100,4.3,0,151
2023-02-08,3399,0,900,4.2,0,142
2023-02-09,2999,1,2700,4.3,0,312
2023-02-10,2999,1,2500,4.3,0,289
2023-02-11,3099,0,1700,4.4,0,201
2023-02-12,3099,0,1500,4.4,0,189
2023-02-13,3099,0,1300,4.3,0,176
2023-02-14,2899,1,3300,4.4,1,382
2023-02-15,2899,1,3100,4.4,0,356
2023-02-16,2899,0,1900,4.3,0,234
2023-02-17,3299,0,1400,4.2,0,182
2023-02-18,3299,0,1200,4.2,0,169
2023-02-19,3299,0,1000,4.1,0,156
2023-02-20,2799,1,2900,4.5,0,348
2023-02-21,2799,1,2700,4.5,0,321
2023-02-22,3199,0,1800,4.4,0,214
2023-02-23,3199,0,1600,4.4,0,202
2023-02-24,3199,0,1400,4.3,0,189
2023-02-25,2999,1,2800,4.3,0,325
